Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL
2023-10-30/2023-11-05,27052.7578125,207.09552001953125,23017.20703125,8236.8515625,2172.815185546875,4359.92236328125,19909.751953125,251.0,12506.0,2102.791015625,16.843061447143555,78.69999694824219,3469.06005859375,1470.793212890625,46354.578125,8461.7978515625,466.1529235839844,31306.787109375,10879.0986328125,10858.4599609375,13665.6337890625,1779.974853515625,43483.53515625,429.83843994140625,24155.2890625,10552.1435546875,15700.0,6072.751953125,11172.62109375,3763.2919921875,5969.416015625
2023-11-06/2023-11-12,27683.98828125,204.9955596923828,23035.802734375,8694.4541015625,2260.466064453125,4728.6435546875,19499.7578125,239.0,12044.240234375,2008.7637939453125,16.843061447143555,78.5,3469.06005859375,1456.48095703125,45097.3125,8846.4248046875,415.0228271484375,31565.36328125,10879.0986328125,10887.162109375,13936.1474609375,1759.9752197265625,43420.60546875,417.6908264160156,24432.9375,10552.1435546875,15860.0,6412.75048828125,11265.728515625,3763.2919921875,5924.32958984375
2023-11-13/2023-11-19,27233.109375,204.9955596923828,22273.521484375,9152.0576171875,2274.3056640625,4677.041015625,21099.736328125,239.0,12217.400390625,2119.886962890625,16.843061447143555,78.5,3469.06005859375,1498.5758056640625,45007.1015625,8894.50390625,433.71759033203125,31124.828125,11048.7724609375,11104.90625,14794.330078125,1699.9759521484375,43225.390625,420.494140625,24880.75390625,10552.1435546875,15800.0,6563.861328125,11545.04296875,3731.166259765625,6194.84716796875
2023-11-20/2023-11-26,26728.123046875,204.9955596923828,22608.181640625,9518.1396484375,2306.597900390625,5028.87451171875,20699.7421875,239.0,11582.48046875,2201.09228515625,16.65797233581543,78.5,3469.06005859375,1557.5084228515625,44439.94140625,9077.201171875,418.7618408203125,30167.138671875,11163.552734375,11203.880859375,14215.9892578125,1679.976318359375,43964.13671875,408.3464660644531,25239.005859375,10705.62890625,15600.0,6620.52734375,11358.8330078125,3790.827880859375,6312.0712890625
2023-11-27/2023-12-03,28315.21875,202.9971466064453,22738.326171875,10286.912109375,2251.2392578125,5113.314453125,20179.748046875,226.0,11486.2802734375,2175.448486328125,16.65797233581543,78.5,3469.06005859375,1616.44140625,45738.9296875,9981.0751953125,428.1091613769531,29669.142578125,11258.3701171875,11300.875,14197.333984375,1699.9759521484375,45027.203125,418.6252746582031,25149.443359375,10341.1005859375,15560.0,6922.748046875,11526.421875,3827.543212890625,6438.3125
2023-12-04/2023-12-10,28838.23828125,208.9970703125,22552.740234375,10433.3447265625,2255.852783203125,5426.35546875,19999.75,221.0,11700.0,2107.06494140625,16.935604095458984,78.5,3469.06005859375,1511.204345703125,45464.4921875,10000.3056640625,471.15411376953125,29209.453125,11258.3701171875,11243.4697265625,14738.3623046875,1719.9755859375,45027.203125,413.622802734375,24988.23046875,10260.0,15820.0,7017.1923828125,11265.728515625,3800.0068359375,6239.93310546875
2023-12-11/2023-12-17,28675.921875,206.99710083007812,23041.384765625,10598.08203125,2523.418212890625,5967.0595703125,19139.76171875,235.0,11980.0,2021.5858154296875,16.65797233581543,78.5,3461.17138671875,1610.0185546875,54813.53125,11731.12890625,431.57720947265625,28328.380859375,11925.0888671875,11743.2900390625,14141.365234375,1724.9755859375,44144.31640625,433.4088439941406,25704.73828125,10500.0,16780.0,7649.96728515625,12029.1904296875,3983.58203125,6321.08837890625
2023-12-18/2023-12-24,29036.625,206.99710083007812,24901.98046875,10598.08203125,2703.33251953125,5938.09375,20859.740234375,261.0,12300.0,2036.9300537109375,15.732529640197754,88.0,3461.17138671875,1761.720458984375,53242.3203125,11711.8974609375,439.1156921386719,28519.919921875,12126.7021484375,11912.041015625,14441.85546875,1709.975830078125,43857.27734375,434.35101318359375,26152.556640625,10840.0,17720.0,7517.74560546875,12420.2314453125,4081.848876953125,6762.93359375
2023-12-25/2023-12-31,29938.384765625,212.99700927734375,25804.091796875,10524.8662109375,2731.011962890625,5899.47216796875,20799.740234375,262.0,13500.0,2028.2623291015625,15.732529640197754,95.0,3461.17138671875,1809.3345947265625,54179.3046875,11942.673828125,444.4336242675781,28072.36328125,12436.107421875,11975.87890625,14864.35546875,1834.9739990234375,43857.27734375,460.6000061035156,26797.412109375,11300.0,19180.0,7989.9658203125,12569.201171875,4397.3076171875,6988.36474609375
2024-01-01/2024-01-07,34214.1875,241.99661254882812,27939.876953125,10524.8662109375,2897.0869140625,6208.44580078125,19900.0,287.0,15080.0,2119.274169921875,17.028148651123047,91.0,3451.310546875,2114.064697265625,56034.87109375,13173.48046875,474.822265625,30008.38671875,13374.3046875,12945.826171875,16323.90625,1929.9727783203125,43837.78515625,477.6944580078125,30663.40234375,12480.0,19980.0,8707.7412109375,14309.0234375,4626.73291015625,7222.81298828125
2024-01-08/2024-01-14,32452.482421875,248.9965057373047,27901.9140625,10524.8662109375,2897.0869140625,6372.58837890625,19400.0,315.0,16920.0,2058.599365234375,15.732529640197754,88.0,3451.310546875,2199.77001953125,55575.57421875,13416.8642578125,479.5704650878906,29814.78515625,13374.3046875,12846.8525390625,16996.064453125,2034.97119140625,44052.1953125,488.1410827636719,28797.736328125,13020.0,20240.0,9213.7919921875,14785.9912109375,4789.2421875,7556.451171875
2024-01-15/2024-01-21,31191.470703125,250.99647521972656,28338.47265625,10524.8662109375,3048.932373046875,6285.689453125,19100.0,316.0,16100.0,1976.255615234375,15.732529640197754,108.0,3328.049072265625,2133.1103515625,57147.40625,13125.193359375,494.7647399902344,30976.3984375,13175.6865234375,12604.365234375,16535.15625,1969.97216796875,43463.16796875,483.392578125,28871.623046875,13000.0,20200.0,9712.873046875,16121.4990234375,4827.4794921875,7394.140625
